´ÔÁÖÁ´ÑÛµû,Lopinga dumetora,0
Ğ¡Á´ÑÛµû,Lopinga nemorum,0
»Æ³áÃ«ÑÛµû,Lasiommata eversmanni,1
Ğ¡Ã«ÑÛµû,Lasiommata minuscula,0
´óÃ«ÑÛµû,Lasiommata majuscula,0
ºÍ·áÃ«ÑÛµû,Lasiommata hefengana,0
¶·Ã«ÑÛµû,Lasiommata deidamia,76
¶àÑÛµû,Kirinia epaminondas,17
°ÂÑÛµû,Orsotriaena medus,243
Ğ¡Ã¼ÑÛµû,Mycalesis mineus,337
µ¾Ã¼ÑÛµû,Mycalesis gotama,204
É®ôÂÃ¼ÑÛµû,Mycalesis sangaica,66
ÅáË¹Ã¼ÑÛµû,Mycalesis perseus,241
Äâµ¾Ã¼ÑÛµû,Mycalesis francisca,252
ÖĞ½éÃ¼ÑÛµû,Mycalesis intermedia,0
Æ½¶¥Ã¼ÑÛµû,Mycalesis panthaka,7
çó°ÍÃ¼ÑÛµû,Mycalesis lepcha,0
¾ıÖ÷Ã¼ÑÛµû,Mycalesis anaxias,74
ÃÜÉ´Ã¼ÑÛµû,Mycalesis misenus,2
´óÀíÊ¯Ã¼ÑÛµû,Mycalesis mamerta,2
ºÖÃ¼ÑÛµû,Mycalesis unica,0
°×°ßÑÛµû,Penthema adelma,103
Ì¨Íå°ßÑÛµû,Penthema formosana,0
²ÊÉÑ°ßÑÛµû,Penthema darlisa,34
¼ıÎÆ·ÛÑÛµû,Callarge sagitta,8
·ïÑÛµû,Neorina patria,9
»Æ´ø·ïÑÛµû,Neorina hilda,4
ºÚÑÛµû,Ethope henrici,0
°×½óºÚÑÛµû,Ethope noirei,3
ÁúÅ®¾âÑÛµû,Elymnias nesaea,50
ÉÁ×Ï¾âÑÛµû,Elymnias malelas,44
´äĞä¾âÑÛµû,Elymnias hypermnestra,281
À¶ñ·ÑÛµû,Coelites nothis,4
çéÑÛµû,Ragadia crisilida,1
µßÑÛµû,Acropolis thalia,5
¶íÂŞË¹°×ÑÛµû,Melanargia russiae,270
°×ÑÛµû,Melanargia halimede,74
»ªÎ÷°×ÑÛµû,Melanargia leda,6
¸Ê²Ø°×ÑÛµû,Melanargia ganymedes,17
ºÚÉ´°×ÑÛµû,Melanargia lugens,18
»ª±±°×ÑÛµû,Melanargia epimede,9
ÂüÀö°×ÑÛµû,Melanargia meridionalis,9
É½µØ°×ÑÛµû,Melanargia montana,19
¾Ó¼äÔÆÑÛµû,Hyponephele interposita,0
»Æ³ÄÔÆÑÛµû,Hyponephele lupina,0
Î÷·½ÔÆÑÛµû,Hyponephele dysdora,20
»Æ³áÔÆÑÛµû,Hyponephele davendra,0
ĞşÉÑÑÛµû,Satyrus ferula,300
±ßÑÛµû,Satyrus parisatis,0
ÉßÑÛµû,Minois dryas,349
ÓÀÔóÉßÑÛµû,Minois nagasawae,14
¸ßÉ½ÉßÑÛµû,Minois aurata,0
¹Å±±Äâ¾ÆÑÛµû,Paroeneis palaearctica,1
Îı½ğÄâ¾ÆÑÛµû,Paroeneis sikkimensis,0
Äâ¾ÆÑÛµû,Paroeneis pumilus,0
éÂÑÛµû,Karanasa regeli,0
²àÌõéÂÑÛµû,Karanasa latifasciata,0
ÊÙÑÛµû,Pseudochazara hippolyte,10
Ë«ĞÇÊÙÑÛµû,Pseudochazara baldiva,0
ÈÊÑÛµû,Eumenis autonoe,13
»¨ÑÒÑÛµû,Chazara anthe,0
°×ÊÒÑÒÑÛµû,Chazara heydenreichii,0
°Ë×ÖÑÒÑÛµû,Chazara briseis,307
´óĞÍÁÖÑÛµû,Aulocera padma,10
ÂŞ¹şÁÖÑÛµû,Aulocera loha,3
Ï¸Ã¼ÁÖÑÛµû,Aulocera merlina,6
ËÄÉäÁÖÑÛµû,Aulocera magica,1
Ğ¡ĞÍÁÖÑÛµû,Aulocera sybillina,2
Ï²ÂíÁÖÑÛµû,Aulocera brahminoides,0
¾îÑÛµû,Davidina armandi,9
ºÚ¾îÑÛµû,Davidina alticola,0
ÛÇÑÛµû,Ypthima balda,112
×¿ÛÇÑÛµû,Ypthima zodia,44
ÓÄÛÇÑÛµû,Ypthima conjuncta,20
Ì¨ÍåÛÇÑÛµû,Ypthima formosana,33
É½ÖĞÛÇÑÛµû,Ypthima yamanakai,0
ÀèÉ£ÛÇÑÛµû,Ypthima lisandra,63
Ä§Å®ÛÇÑÛµû,Ypthima medusa,3
Á¬°ßÛÇÑÛµû,Ypthima sakra,19
ÈÚ°ßÛÇÑÛµû,Ypthima nikaea,57
´ó²¨ÛÇÑÛµû,Ypthima tappana,15
Ç°ÎíÛÇÑÛµû,Ypthima praenubila,20
ğØÛÇÑÛµû,Ypthima ciris,4
